"IID","feed","cage.pen","breed","weight","comb_mass","group"
614,"SLU-kontroll","CAGE","Bovans",1.753,28.45,2408
615,"SLU-kontroll","CAGE","Bovans",1.855,29.45,2408
616,"SLU-försök","CAGE","LSL",2.025,20.14,2409
617,"SLU-försök","CAGE","LSL",1.883,21.38,2409
618,"SLU-kontroll","CAGE","Bovans",1.803,25.38,2304
621,"SLU-försök","CAGE","Bovans",2.049,22.1,2423
622,"SLU-försök","CAGE","Bovans",1.896,22.84,2423
623,"SLU-försök","CAGE","LSL",1.705,24.33,2422
624,"SLU-försök","CAGE","LSL",1.854,14.32,2422
625,"SLU-försök","CAGE","LSL",1.96,27.37,2422
626,"SLU-kontroll","CAGE","LSL",2.305,33.06,2424
628,"SLU-kontroll","CAGE","Bovans",2.324,24.36,2507
629,"SLU-kontroll","CAGE","Bovans",2.092,24.16,2507
630,"SLU-kontroll","CAGE","LSL",1.85,13.61,2508
631,"SLU-kontroll","CAGE","LSL",1.977,27.03,2508
632,"SLU-kontroll","CAGE","Bovans",2.192,24.8,2509
633,"SLU-kontroll","CAGE","Bovans",1.837,18.81,2509
634,"SLU-försök","CAGE","Bovans",1.751,20.6,2522
636,"SLU-försök","CAGE","LSL",1.826,27.71,2523
637,"SLU-försök","CAGE","LSL",1.732,19.29,2523
639,"SLU-försök","CAGE","Bovans",1.803,17.15,2524
643,"SLU-försök","CAGE","LSL",2.009,22.26,2607
644,"SLU-försök","CAGE","Bovans",1.778,36.7,2524
645,"SLU-försök","CAGE","Bovans",1.979,23.52,2608
646,"SLU-försök","CAGE","Bovans",1.701,18.89,2608
647,"SLU-kontroll","CAGE","LSL",2.319,23.31,2609
649,"SLU-kontroll","CAGE","LSL",1.778,28.94,2622
650,"SLU-kontroll","CAGE","LSL",1.961,12.3,2622
652,"SLU-kontroll","CAGE","Bovans",2.184,30.7,2623
653,"SLU-försök","CAGE","LSL",1.821,21.85,2624
655,"SLU-försök","CAGE","Bovans",1.649,35.4,2519
656,"SLU-försök","CAGE","Bovans",2.143,27.9,2519
658,"SLU-försök","CAGE","LSL",2.759,37.95,2607
660,"SLU-kontroll","CAGE","Bovans",2.108,14.21,2623
661,"SLU-kontroll","CAGE","LSL",1.896,23.99,2606
1003,"SLU-försök","PEN","LSL",1.781,12.75,1001
1004,"SLU-försök","PEN","LSL",1.79,18.76,1001
1006,"SLU-försök","PEN","LSL",1.822,33.51,1001
1007,"SLU-försök","PEN","LSL",1.756,11.88,1001
1008,"SLU-försök","PEN","LSL",1.771,24.81,1001
1009,"SLU-försök","PEN","LSL",1.763,23.46,1001
1010,"SLU-försök","PEN","LSL",1.973,18.14,1001
1011,"SLU-försök","PEN","LSL",2.034,28.18,1001
1012,"SLU-försök","PEN","LSL",1.873,13.81,1001
1013,"SLU-försök","PEN","LSL",1.872,25.54,1001
1014,"SLU-försök","PEN","LSL",1.767,10.21,1001
1015,"SLU-försök","PEN","LSL",1.965,30.28,1001
1016,"SLU-försök","PEN","LSL",1.749,20.52,1001
1017,"SLU-försök","PEN","LSL",1.721,18.65,1001
1019,"SLU-försök","PEN","LSL",1.742,18.96,1001
1020,"SLU-försök","PEN","LSL",1.705,13.35,1001
1022,"SLU-försök","PEN","Bovans",1.388,16.75,1002
1023,"SLU-försök","PEN","Bovans",1.952,10.25,1002
1026,"SLU-försök","PEN","Bovans",2.015,30.96,1002
1027,"SLU-försök","PEN","Bovans",1.707,24.92,1002
1030,"SLU-försök","PEN","Bovans",1.617,24.33,1002
1032,"SLU-försök","PEN","Bovans",1.729,19.42,1002
1033,"SLU-försök","PEN","Bovans",1.825,19.16,1002
1035,"SLU-försök","PEN","Bovans",2.124,26.88,1002
1037,"SLU-försök","PEN","Bovans",2.065,14.42,1002
1042,"SLU-kontroll","PEN","Bovans",2.118,19.9,1003
1044,"SLU-kontroll","PEN","Bovans",1.947,13.42,1003
1045,"SLU-kontroll","PEN","Bovans",1.979,21.84,1003
1046,"SLU-kontroll","PEN","Bovans",1.928,21.6,1003
1047,"SLU-kontroll","PEN","Bovans",2.133,23.35,1003
1048,"SLU-kontroll","PEN","Bovans",2.03,22.83,1003
1049,"SLU-kontroll","PEN","Bovans",1.853,21.6,1003
1050,"SLU-kontroll","PEN","Bovans",1.858,16.37,1003
1052,"SLU-kontroll","PEN","Bovans",2.025,19.16,1003
1054,"SLU-kontroll","PEN","Bovans",1.781,19.98,1003
1055,"SLU-kontroll","PEN","Bovans",2.166,16.92,1003
1056,"SLU-kontroll","PEN","Bovans",1.556,25.96,1003
1059,"SLU-kontroll","PEN","Bovans",1.889,20.7,1003
1061,"SLU-kontroll","PEN","LSL",2.093,26.8,1004
1062,"SLU-kontroll","PEN","LSL",2.067,16.66,1004
1063,"SLU-kontroll","PEN","LSL",1.992,20.64,1004
1065,"SLU-kontroll","PEN","LSL",1.719,19.35,1004
1066,"SLU-kontroll","PEN","LSL",1.757,15.76,1004
